year;location;sex;baby;child;adult;senior
2019;Africa;Female;97131;231026;301220;25175
2019;Africa;Male;100186;236818;296159;20352
2020;Africa;Female;98412;236572;309698;26038
2020;Africa;Male;101498;242613;304709;21058
2019;Asia;Female;174198;516505;1345238;211963
2019;Asia;Male;189470;567035;1413582;183380
2020;Asia;Female;173546;516716;1356610;220719
2020;Asia;Male;188596;566971;1427012;190885
2019;Europe;Female;19165;57487;227055;82765
2019;Europe;Male;20228;60693;222147;57644
2020;Europe;Female;19009;57821;225593;84151
2020;Europe;Male;20061;61075;221171;58753
2019;Latin America and the Caribbean;Female;25409;77967;194285;31658
2019;Latin America and the Caribbean;Male;26562;80885;186604;24754
2020;Latin America and the Caribbean;Female;25269;77585;196551;32925
2020;Latin America and the Caribbean;Male;26420;80523;188961;25724
2019;Northern America;Female;10554;33591;107957;33048
2019;Northern America;Male;11036;35074;108429;26914
2020;Northern America;Female;10597;33435;108194;34062
2020;Northern America;Male;11079;34914;108747;27840
2019;Oceania;Female;1663;4652;11920;2804
2019;Oceania;Male;1764;4918;11929;2476
2020;Oceania;Female;1676;4705;12040;2892
2020;Oceania;Male;1778;4973;12057;2556
1984;Africa;Female;47326;98449;112129;9358
1984;Africa;Male;48441;100320;109608;7711
1985;Africa;Female;48538;101353;115428;9620
1985;Africa;Male;49689;103294;112792;7910
1986;Africa;Female;49908;104441;118550;9925
1986;Africa;Male;51122;106372;115827;8184
1987;Africa;Female;51103;107692;121879;10230
1987;Africa;Male;52360;109652;119056;8453
1988;Africa;Female;52180;111035;125397;10535
1988;Africa;Male;53468;113065;122449;8718
1989;Africa;Female;53189;114391;129087;10846
1989;Africa;Male;54502;116518;125997;8980
1990;Africa;Female;54183;117675;132951;11164
1990;Africa;Male;55525;119907;129704;9242
1991;Africa;Female;55270;121037;136677;11526
1991;Africa;Male;56648;123306;133322;9559
1992;Africa;Female;56160;124466;140627;11887
1992;Africa;Male;57563;126791;137152;9866
1993;Africa;Female;56939;127894;144784;12247
1993;Africa;Male;58361;130291;141185;10165
1994;Africa;Female;57728;131236;149128;12612
1994;Africa;Male;59169;133717;145394;10461
1995;Africa;Female;58645;134400;153646;12980
1995;Africa;Male;60112;136966;149765;10756
1996;Africa;Female;59787;137794;157806;13392
1996;Africa;Male;61292;140370;153832;11091
1997;Africa;Female;60934;141147;162153;13795
1997;Africa;Male;62477;143742;158083;11407
1998;Africa;Female;62125;144423;166706;14190
1998;Africa;Male;63708;147046;162535;11704
1999;Africa;Female;63374;147590;171492;14576
1999;Africa;Male;65002;150260;167231;11977
2000;Africa;Female;64712;150619;176539;14952
2000;Africa;Male;66395;153352;172195;12223
2001;Africa;Female;66347;153679;181427;15361
2001;Africa;Male;68108;156427;177018;12531
2002;Africa;Female;67831;156842;186614;15752
2002;Africa;Male;69652;159654;182144;12810
2003;Africa;Female;69247;160094;192059;16130
2003;Africa;Male;71118;163005;187534;13061
2004;Africa;Female;70716;163398;197729;16496
2004;Africa;Male;72640;166428;193145;13291
2005;Africa;Female;72356;166694;203598;16858
2005;Africa;Male;74344;169843;198954;13506
2006;Africa;Female;74235;170110;209386;17313
2006;Africa;Male;76304;173322;204667;13871
2007;Africa;Female;76055;173727;215420;17759
2007;Africa;Male;78195;177028;210619;14216
2008;Africa;Female;77869;177532;221659;18203
2008;Africa;Male;80076;180949;216782;14550
2009;Africa;Female;79719;181501;228085;18655
2009;Africa;Male;82003;185066;223134;14883
2010;Africa;Female;81664;185586;234683;19122
2010;Africa;Male;84040;189325;229671;15218
2011;Africa;Female;83790;189843;241232;19678
2011;Africa;Male;86269;193739;236166;15696
2012;Africa;Female;85802;194379;248001;20242
2012;Africa;Male;88379;198463;242903;16174
2013;Africa;Female;87721;199149;254983;20824
2013;Africa;Male;90394;203449;249871;16655
2014;Africa;Female;89549;204097;262191;21427
2014;Africa;Male;92311;208633;257075;17152
2015;Africa;Female;91309;209151;269637;22061
2015;Africa;Male;94155;213933;264524;17666
2016;Africa;Female;93136;214350;277071;22794
2016;Africa;Male;96072;219362;271939;18317
2017;Africa;Female;94631;219795;284856;23554
2017;Africa;Male;97625;225056;279722;18981
2018;Africa;Female;95911;225394;292930;24347
2018;Africa;Male;98939;230920;287819;19660
1984;Asia;Female;173291;477733;678820;70965
1984;Asia;Male;183688;503543;715066;60391
1985;Asia;Female;177267;480142;698433;73095
1985;Asia;Male;188185;506370;735483;62199
1986;Asia;Female;183106;482233;717403;75348
1986;Asia;Male;194649;508985;755010;64329
1987;Asia;Female;188154;484645;737695;77614
1987;Asia;Male;200283;512058;775973;66387
1988;Asia;Female;192205;487475;758838;79903
1988;Asia;Male;204871;515656;797856;68419
1989;Asia;Female;194878;490778;780379;82241
1989;Asia;Male;208044;519760;820136;70487
1990;Asia;Female;196040;494335;802086;84669
1990;Asia;Male;209674;524096;842547;72650
1991;Asia;Female;197795;497959;821733;87266
1991;Asia;Male;211944;528500;862610;75138
1992;Asia;Female;195395;503072;842785;90022
1992;Asia;Male;209971;534413;884114;77738
1993;Asia;Female;190395;509292;864342;92900
1993;Asia;Male;205317;541462;906142;80392
1994;Asia;Female;185143;515975;885157;95845
1994;Asia;Male;200334;549025;927426;83011
1995;Asia;Female;181323;522328;904638;98847
1995;Asia;Male;196721;556303;947368;85557
1996;Asia;Female;174996;529203;925405;102434
1996;Asia;Male;190600;564278;968110;88821
1997;Asia;Female;172921;534167;943764;105876
1997;Asia;Male;188685;570345;986454;91822
1998;Asia;Female;173778;537240;960870;109260
1998;Asia;Male;189681;574544;1003625;94662
1999;Asia;Female;175122;538895;978485;112724
1999;Asia;Male;191186;577373;1021464;97488
2000;Asia;Female;175324;539886;997371;116318
2000;Asia;Male;191585;579605;1040803;100371
2001;Asia;Female;177361;540577;1014444;119795
2001;Asia;Male;193710;581303;1058449;103647
2002;Asia;Female;177257;541581;1032914;123365
2002;Asia;Male;193815;583360;1077630;106956
2003;Asia;Female;175637;542593;1052617;126952
2003;Asia;Male;192463;585450;1098206;110219
2004;Asia;Female;173976;542804;1073132;130412
2004;Asia;Male;191042;586709;1119794;113280
2005;Asia;Female;173315;541427;1094323;133696
2005;Asia;Male;190538;586312;1142285;116089
2006;Asia;Female;173057;538260;1116589;137228
2006;Asia;Male;190501;583994;1165760;119292
2007;Asia;Female;173307;533803;1139722;140603
2007;Asia;Male;190820;580354;1190341;122264
2008;Asia;Female;174023;528730;1163000;143949
2008;Asia;Male;191484;576070;1215194;125122
2009;Asia;Female;174743;524102;1185649;147484
2009;Asia;Male;192087;572186;1239425;128035
2010;Asia;Female;175220;520571;1207121;151367
2010;Asia;Male;192414;569328;1262445;131125
2011;Asia;Female;175995;518033;1226732;155867
2011;Asia;Male;192959;567458;1283167;134981
2012;Asia;Female;176233;516728;1245409;160608
2012;Asia;Male;192981;566623;1303007;138876
2013;Asia;Female;176062;516368;1263036;165771
2013;Asia;Male;192604;566575;1321883;143036
2014;Asia;Female;175759;516359;1279563;171589
2014;Asia;Male;192092;566784;1339778;147776
2015;Asia;Female;175510;516238;1295013;178214
2015;Asia;Male;191632;566839;1356748;153285
2016;Asia;Female;175190;516331;1308930;185848
2016;Asia;Male;191076;567031;1372046;160155
2017;Asia;Female;174910;516377;1321742;194216
2017;Asia;Male;190587;567108;1386424;167678
2018;Asia;Female;174625;516404;1333698;203058
2018;Asia;Male;190104;567088;1400127;175565
1984;Europe;Female;24178;75910;212625;53899
1984;Europe;Male;25309;79270;203256;30362
1985;Europe;Female;24169;75339;214344;54057
1985;Europe;Male;25313;78705;205457;30203
1986;Europe;Female;24201;74920;215456;54621
1986;Europe;Male;25368;78225;207094;30536
1987;Europe;Female;24167;74600;216237;55472
1987;Europe;Male;25347;77870;208587;31003
1988;Europe;Female;24047;74358;216774;56523
1988;Europe;Male;25232;77608;209932;31583
1989;Europe;Female;23815;74149;217236;57639
1989;Europe;Male;24996;77383;211156;32244
1990;Europe;Female;23454;73929;217727;58744
1990;Europe;Male;24626;77138;212280;32962
1991;Europe;Female;23083;73738;218084;59845
1991;Europe;Male;24259;76939;212839;33988
1992;Europe;Female;22464;73578;218531;60961
1992;Europe;Male;23626;76778;213401;35053
1993;Europe;Female;21695;73412;219041;62022
1993;Europe;Male;22831;76622;213955;36077
1994;Europe;Female;20916;73192;219570;62939
1994;Europe;Male;22023;76424;214499;36963
1995;Europe;Female;20215;72873;220106;63664
1995;Europe;Male;21295;76136;215044;37661
1996;Europe;Female;19302;72492;220733;64346
1996;Europe;Male;20343;75755;215520;38530
1997;Europe;Female;18719;71874;221341;64759
1997;Europe;Male;19731;75140;215927;39180
1998;Europe;Female;18378;71034;221956;65055
1998;Europe;Male;19371;74305;216327;39715
1999;Europe;Female;18140;70029;222581;65451
1999;Europe;Male;19117;73306;216798;40279
2000;Europe;Female;17918;68936;223207;66072
2000;Europe;Male;18883;72218;217383;40941
2001;Europe;Female;17874;67818;223627;66924
2001;Europe;Male;18839;71068;217693;41929
2002;Europe;Female;17809;66655;224083;67972
2002;Europe;Male;18772;69875;218154;42989
2003;Europe;Female;17746;65455;224668;69074
2003;Europe;Male;18706;68652;218826;44010
2004;Europe;Female;17753;64209;225508;69997
2004;Europe;Male;18713;67381;219765;44822
2005;Europe;Female;17877;62905;226666;70615
2005;Europe;Male;18844;66049;220979;45350
2006;Europe;Female;18139;61706;227727;71159
2006;Europe;Male;19128;64791;221876;46020
2007;Europe;Female;18432;60501;229105;71434
2007;Europe;Male;19435;63543;223024;46465
2008;Europe;Female;18742;59339;230573;71602
2008;Europe;Male;19756;62353;224236;46818
2009;Europe;Female;19021;58295;231826;71901
2009;Europe;Male;20047;61298;225282;47256
2010;Europe;Female;19245;57408;232691;72453
2010;Europe;Male;20290;60417;226043;47864
2011;Europe;Female;19564;56757;233027;73159
2011;Europe;Male;20624;59740;226239;48742
2012;Europe;Female;19692;56348;233064;74060
2012;Europe;Male;20763;59325;226236;49740
2013;Europe;Female;19684;56155;232802;75130
2013;Europe;Male;20763;59145;226048;50816
2014;Europe;Female;19624;56126;232283;76306
2014;Europe;Male;20710;59147;225715;51904
2015;Europe;Female;19568;56205;231556;77546
2015;Europe;Male;20662;59273;225280;52969
2016;Europe;Female;19400;56465;230712;78804
2016;Europe;Male;20491;59550;224648;54198
2017;Europe;Female;19301;56786;229652;80099
2017;Europe;Male;20385;59904;223906;55383
2018;Europe;Female;19243;57137;228417;81419
2018;Europe;Male;20318;60298;223063;56524
1984;Latin America and the Caribbean;Female;26790;68547;92983;9780
1984;Latin America and the Caribbean;Male;27695;69647;90447;7915
1985;Latin America and the Caribbean;Female;26990;69536;95715;10088
1985;Latin America and the Caribbean;Male;27918;70671;92979;8125
1986;Latin America and the Caribbean;Female;27211;70487;98412;10423
1986;Latin America and the Caribbean;Male;28132;71673;95500;8386
1987;Latin America and the Caribbean;Female;27364;71448;101134;10770
1987;Latin America and the Caribbean;Male;28306;72693;98044;8646
1988;Latin America and the Caribbean;Female;27471;72410;103876;11128
1988;Latin America and the Caribbean;Male;28451;73720;100598;8909
1989;Latin America and the Caribbean;Female;27556;73358;106633;11507
1989;Latin America and the Caribbean;Male;28570;74744;103159;9180
1990;Latin America and the Caribbean;Female;27635;74277;109411;11911
1990;Latin America and the Caribbean;Male;28670;75746;105732;9460
1991;Latin America and the Caribbean;Female;27697;75134;112241;12344
1991;Latin America and the Caribbean;Male;28764;76633;108335;9799
1992;Latin America and the Caribbean;Female;27759;75976;115064;12795
1992;Latin America and the Caribbean;Male;28841;77521;110918;10144
1993;Latin America and the Caribbean;Female;27817;76796;117894;13256
1993;Latin America and the Caribbean;Male;28899;78404;113501;10489
1994;Latin America and the Caribbean;Female;27861;77578;120755;13717
1994;Latin America and the Caribbean;Male;28941;79266;116110;10826
1995;Latin America and the Caribbean;Female;27886;78300;123666;14183
1995;Latin America and the Caribbean;Male;28973;80082;118772;11155
1996;Latin America and the Caribbean;Female;27924;78891;126648;14668
1996;Latin America and the Caribbean;Male;29030;80740;121511;11533
1997;Latin America and the Caribbean;Female;27932;79423;129689;15148
1997;Latin America and the Caribbean;Male;29049;81362;124317;11901
1998;Latin America and the Caribbean;Female;27909;79903;132765;15633
1998;Latin America and the Caribbean;Male;29037;81947;127167;12262
1999;Latin America and the Caribbean;Female;27857;80325;135854;16132
1999;Latin America and the Caribbean;Male;28992;82481;130031;12626
2000;Latin America and the Caribbean;Female;27775;80685;138950;16654
2000;Latin America and the Caribbean;Male;28914;82945;132916;13000
2001;Latin America and the Caribbean;Female;27692;80948;142046;17197
2001;Latin America and the Caribbean;Male;28823;83234;135834;13436
2002;Latin America and the Caribbean;Female;27562;81152;145166;17759
2002;Latin America and the Caribbean;Male;28686;83463;138777;13878
2003;Latin America and the Caribbean;Female;27395;81307;148293;18334
2003;Latin America and the Caribbean;Male;28511;83651;141726;14327
2004;Latin America and the Caribbean;Female;27206;81419;151411;18927
2004;Latin America and the Caribbean;Male;28316;83818;144676;14779
2005;Latin America and the Caribbean;Female;27011;81496;154517;19534
2005;Latin America and the Caribbean;Male;28119;83971;147614;15241
2006;Latin America and the Caribbean;Female;26802;81545;157608;20143
2006;Latin America and the Caribbean;Male;27922;84117;150513;15734
2007;Latin America and the Caribbean;Female;26587;81556;160687;20769
2007;Latin America and the Caribbean;Male;27711;84243;153422;16231
2008;Latin America and the Caribbean;Female;26379;81523;163746;21414
2008;Latin America and the Caribbean;Male;27501;84334;156328;16738
2009;Latin America and the Caribbean;Female;26195;81435;166777;22100
2009;Latin America and the Caribbean;Male;27316;84360;159231;17266
2010;Latin America and the Caribbean;Female;26047;81280;169778;22832
2010;Latin America and the Caribbean;Male;27171;84299;162127;17819
2011;Latin America and the Caribbean;Female;25914;81069;172787;23593
2011;Latin America and the Caribbean;Male;27046;84094;165057;18437
2012;Latin America and the Caribbean;Female;25846;80788;175755;24388
2012;Latin America and the Caribbean;Male;26988;83813;167952;19069
2013;Latin America and the Caribbean;Female;25820;80449;178663;25236
2013;Latin America and the Caribbean;Male;26971;83475;170800;19730
2014;Latin America and the Caribbean;Female;25794;80071;181494;26155
2014;Latin America and the Caribbean;Male;26953;83112;173583;20435
2015;Latin America and the Caribbean;Female;25742;79668;184231;27158
2015;Latin America and the Caribbean;Male;26907;82743;176288;21197
2016;Latin America and the Caribbean;Female;25759;79215;186859;28181
2016;Latin America and the Caribbean;Male;26925;82204;178975;22025
2017;Latin America and the Caribbean;Female;25690;78778;189423;29277
2017;Latin America and the Caribbean;Male;26854;81711;181602;22896
2018;Latin America and the Caribbean;Female;25559;78361;191905;30439
2018;Latin America and the Caribbean;Male;26719;81273;184147;23810
1984;Northern America;Female;9424;28745;77601;18479
1984;Northern America;Male;9909;30797;76144;12721
1985;Northern America;Female;9584;28480;78600;18884
1985;Northern America;Male;10043;30497;77335;12943
1986;Northern America;Female;9793;28383;79474;19241
1986;Northern America;Male;10219;30289;78332;13227
1987;Northern America;Female;9961;28394;80312;19610
1987;Northern America;Male;10384;30173;79273;13499
1988;Northern America;Female;10099;28490;81115;19990
1988;Northern America;Male;10541;30140;80168;13759
1989;Northern America;Female;10221;28636;81889;20365
1989;Northern America;Male;10691;30179;81049;13998
1990;Northern America;Female;10340;28803;82646;20727
1990;Northern America;Male;10831;30279;81941;14217
1991;Northern America;Female;10481;29069;83357;20988
1991;Northern America;Male;10974;30498;82725;14457
1992;Northern America;Female;10590;29384;84064;21225
1992;Northern America;Male;11086;30802;83512;14675
1993;Northern America;Female;10668;29739;84801;21441
1993;Northern America;Male;11166;31181;84332;14875
1994;Northern America;Female;10711;30135;85614;21650
1994;Northern America;Male;11209;31617;85236;15056
1995;Northern America;Female;10726;30550;86542;21855
1995;Northern America;Male;11225;32080;86253;15219
1996;Northern America;Female;10774;31036;87546;22004
1996;Northern America;Male;11265;32582;87304;15405
1997;Northern America;Female;10715;31566;88715;22151
1997;Northern America;Male;11200;33133;88524;15579
1998;Northern America;Female;10600;32107;89977;22296
1998;Northern America;Male;11080;33699;89825;15741
1999;Northern America;Female;10496;32607;91234;22430
1999;Northern America;Male;10975;34231;91114;15894
2000;Northern America;Female;10440;33022;92428;22559
2000;Northern America;Male;10920;34679;92336;16044
2001;Northern America;Female;10315;33377;93628;22680
2001;Northern America;Male;10782;35075;93467;16290
2002;Northern America;Female;10347;33589;94732;22779
2002;Northern America;Male;10816;35317;94482;16524
2003;Northern America;Female;10479;33675;95795;22884
2003;Northern America;Male;10960;35423;95455;16760
2004;Northern America;Female;10627;33679;96893;23036
2004;Northern America;Male;11121;35442;96486;17014
2005;Northern America;Female;10744;33651;98058;23256
2005;Northern America;Male;11245;35421;97618;17294
2006;Northern America;Female;11014;33659;99046;23544
2006;Northern America;Male;11533;35390;98586;17653
2007;Northern America;Female;11150;33725;100111;23896
2007;Northern America;Male;11675;35433;99645;18035
2008;Northern America;Female;11179;33834;101188;24323
2008;Northern America;Male;11704;35533;100733;18462
2009;Northern America;Female;11157;33946;102196;24833
2009;Northern America;Male;11680;35648;101767;18955
2010;Northern America;Female;11131;34013;103094;25434
2010;Northern America;Male;11653;35728;102705;19531
2011;Northern America;Female;11142;34037;103857;26091
2011;Northern America;Male;11658;35706;103557;20201
2012;Northern America;Female;11060;34016;104608;26833
2012;Northern America;Male;11571;35648;104417;20944
2013;Northern America;Female;10931;33957;105320;27637
2013;Northern America;Male;11437;35557;105243;21740
2014;Northern America;Female;10800;33879;105968;28487
2014;Northern America;Male;11301;35450;106009;22568
2015;Northern America;Female;10697;33789;106534;29374
2015;Northern America;Male;11192;35342;106691;23415
2016;Northern America;Female;10518;33825;107007;30274
2016;Northern America;Male;11008;35351;107252;24294
2017;Northern America;Female;10463;33803;107383;31173
2017;Northern America;Male;10948;35309;107706;25158
2018;Northern America;Female;10494;33722;107689;32088
2018;Northern America;Male;10978;35214;108086;26026
1984;Oceania;Female;1162;3389;6592;1190
1984;Oceania;Male;1226;3555;6752;873
1985;Oceania;Female;1183;3399;6732;1225
1985;Oceania;Male;1249;3568;6897;896
1986;Oceania;Female;1217;3412;6865;1257
1986;Oceania;Male;1284;3581;7030;926
1987;Oceania;Female;1234;3435;7007;1296
1987;Oceania;Male;1302;3606;7167;957
1988;Oceania;Female;1239;3465;7152;1334
1988;Oceania;Male;1308;3639;7306;991
1989;Oceania;Female;1243;3497;7297;1373
1989;Oceania;Male;1313;3676;7445;1023
1990;Oceania;Female;1253;3525;7442;1411
1990;Oceania;Male;1323;3708;7583;1055
1991;Oceania;Female;1261;3550;7589;1449
1991;Oceania;Male;1332;3733;7721;1090
1992;Oceania;Female;1274;3568;7738;1484
1992;Oceania;Male;1347;3754;7857;1125
1993;Oceania;Female;1292;3584;7883;1521
1993;Oceania;Male;1367;3772;7992;1157
1994;Oceania;Female;1309;3602;8023;1553
1994;Oceania;Male;1385;3794;8124;1188
1995;Oceania;Female;1321;3626;8163;1585
1995;Oceania;Male;1400;3822;8257;1217
1996;Oceania;Female;1336;3651;8296;1613
1996;Oceania;Male;1420;3847;8388;1247
1997;Oceania;Female;1344;3685;8426;1642
1997;Oceania;Male;1431;3886;8513;1276
1998;Oceania;Female;1348;3724;8555;1666
1998;Oceania;Male;1437;3935;8638;1302
1999;Oceania;Female;1351;3766;8683;1692
1999;Oceania;Male;1442;3990;8758;1331
2000;Oceania;Female;1354;3807;8816;1721
2000;Oceania;Male;1445;4044;8881;1360
2001;Oceania;Female;1353;3852;8950;1745
2001;Oceania;Male;1440;4095;9009;1392
2002;Oceania;Female;1353;3888;9094;1776
2002;Oceania;Male;1438;4137;9144;1426
2003;Oceania;Female;1357;3917;9246;1808
2003;Oceania;Male;1440;4171;9290;1462
